race_id,series_id,race_season,result_id,finishing_position,starting_position,car_number,driver_fullname,driver_hometown,hometown_city,hometown_state,hometown_country,team_id,team_name,qualifying_order,qualifying_position,qualifying_speed,laps_led,times_led,car_make,car_model,sponsor,points_earned,playoff_points_earned,laps_completed,finishing_status,winnings,owner_fullname,crew_chief_id,crew_chief_fullname,points_position,points_delta,owner_id,official_car_number,disqualified,diff_laps,diff_time
5543,1,2025,294166,0,28,47,Ricky Stenhouse Jr,"Olive Branch, Mississippi",Olive Branch,Mississippi,United States,3252,HYAK Motorsports,29,28,0.0,0,0,Chevrolet,Camaro,SunnyD,0,0,0,,0,HYAK Motorsports,4937,Mike Kelley,0,0,3078,47,False,0,0
5543,1,2025,294147,0,30,10,Ty Dillon,"Welcome, North Carolina",Welcome,North Carolina,United States,3249,Kaulig Racing,10,30,0.0,0,0,Chevrolet,Camaro,Sea Best,0,0,0,,0,Kaulig Racing,7375,Andrew Dickeson,0,0,7087,10,False,0,0
5543,1,2025,294151,0,36,16,AJ Allmendinger,"Los Gatos, California",Los Gatos,California,United States,3049,Kaulig Racing,14,36,0.0,0,0,Chevrolet,Camaro,Campers Inn RV,0,0,0,,0,Kaulig Racing,2467,Trent Owens,0,0,7087,16,False,0,0
5543,1,2025,294162,0,33,41,Cole Custer,"Ladera Ranch, California",Ladera Ranch,California,United States,2767,Haas Factory Team,25,33,0.0,0,0,Ford,Mustang,HaasTooling.com,0,0,0,,0,Haas Factory Team,6291,Aaron Kramer,0,0,4084,41,False,0,0
5543,1,2025,294160,0,38,35,Riley Herbst,"Las Vegas, Nevada",Las Vegas,Nevada,United States,3250,23XI Racing,23,38,0.0,0,0,Toyota,Camry,Monster Energy Zero Sugar,0,0,0,,0,23XI Racing,7750,Davin Restivo,0,0,7712,35,False,0,0
5543,1,2025,294172,0,34,66,Garrett Smithley,"Ligonier, Pennsylvania",Ligonier,Pennsylvania,United States,2256,Power Source,35,34,0.0,0,0,Ford,Mustang,Veterans Ranch,0,0,0,,0,Power Source,2028,Carl Long,0,0,8056,66,False,0,0
5543,1,2025,294140,0,24,3,Austin Dillon,"Welcome, North Carolina",Welcome,North Carolina,United States,2765,Richard Childress Racing,3,24,0.0,0,0,Chevrolet,Camaro,Bass Pro Shops/Winchester,0,0,0,,0,Richard Childress Racing,6061,Richard Boswell II,0,0,553,3,False,0,0
5543,1,2025,294161,0,27,38,Zane Smith,"Huntington Beach, California",Huntington Beach,California,United States,2485,Front Row Motorsports,24,27,0.0,0,0,Ford,Mustang,Speedy Cash,0,0,0,,0,Front Row Motorsports,5947,Ryan Bergenty,0,0,4997,38,False,0,0
5543,1,2025,294168,0,39,50,Burt Myers,"Walnut Cove, North Carolina",Walnut Cove,North Carolina,United States,3051,Team AmeriVet,31,39,0.0,0,0,Chevrolet,Camaro,Citrusafe Cleaners,0,0,0,,0,Team AmeriVet,4881,Tony Eury Jr.,0,0,8073,50,False,0,0
5543,1,2025,294169,0,32,51,Cody Ware,"Greensboro, North Carolina",Greensboro,North Carolina,United States,1430,Rick Ware Racing,32,32,0.0,0,0,Ford,Mustang,Mighty Fire Breaker/Red Cross,0,0,0,,0,Rick Ware Racing,7731,Billy Plourde,0,0,3486,51,False,0,0
