race_id,series_id,race_season,result_id,finishing_position,starting_position,car_number,driver_fullname,driver_hometown,hometown_city,hometown_state,hometown_country,team_id,team_name,qualifying_order,qualifying_position,qualifying_speed,laps_led,times_led,car_make,car_model,sponsor,points_earned,playoff_points_earned,laps_completed,finishing_status,winnings,owner_fullname,crew_chief_id,crew_chief_fullname,points_position,points_delta,owner_id,official_car_number,disqualified,diff_laps,diff_time
5376,1,2024,289035,0,0,42,John H. Nemechek,"Mooresville, North Carolina",Mooresville,North Carolina,United States,3130,Legacy Motor Club,0,0,0,0,0,Toyota,Camry,Dollar Tree,0,0,0,,0,Legacy Motor Club,7238,Ben Beshore,0,0,6710,42,False,0,0
5376,1,2024,289036,0,0,43,Erik Jones,"Byron, Michigan",Byron,Michigan,United States,1690,Legacy Motor Club,0,0,0,0,0,Toyota,Camry,Family Dollar,0,0,0,,0,Legacy Motor Club,6935,David Elenz,0,0,6710,43,False,0,0
5376,1,2024,289037,0,0,45,Tyler Reddick,"Corning, California",Corning,California,United States,3131,23XI Racing,0,0,0,0,0,Toyota,Camry,Jordan Brand,0,0,0,,0,23XI Racing,6801,Billy Scott,0,0,7712,45,False,0,0
5376,1,2024,289019,0,0,11,Denny Hamlin,"Chesterfield, Virginia",Chesterfield,Virginia,United States,1447,Joe Gibbs Racing,0,0,0,0,0,Toyota,Camry,SportClips Haircuts,0,0,0,,0,Joe Gibbs Racing,7088,Christopher Gabehart,0,0,4047,11,False,0,0
5376,1,2024,289021,0,0,14,Chase Briscoe,"Mitchell, Indiana",Mitchell,Indiana,United States,2370,Stewart-Haas Racing,0,0,0,0,0,Ford,Mustang,Mahindra Tractors,0,0,0,,0,Stewart-Haas Racing,6061,Richard Boswell II,0,0,4084,14,False,0,0
5376,1,2024,289012,0,0,4,Josh Berry,"Hendersonville, Tennessee",Hendersonville,Tennessee,United States,2766,Stewart-Haas Racing,0,0,0,0,0,Ford,Mustang,SunnyD,0,0,0,,0,Stewart-Haas Racing,555,Rodney Childers,0,0,3193,4,False,0,0
5376,1,2024,289022,0,0,15,Kaz Grala,"Westborough, Massachusetts",Westborough,Massachusetts,United States,3106,Rick Ware Racing,0,0,0,0,0,Ford,Mustang,N29 Capital Partners,0,0,0,,0,Rick Ware Racing,7731,Billy Plourde,0,0,3486,15,False,0,0
5376,1,2024,289023,0,0,16,Josh Williams,"Port Charlotte, Florida",Port Charlotte,Florida,United States,3049,Kaulig Racing,0,0,0,0,0,Chevrolet,Camaro,Alloy Employer Services,0,0,0,,0,Kaulig Racing,7370,Travis Mack,0,0,7087,16,False,0,0
5376,1,2024,289018,0,0,10,Noah Gragson,"Las Vegas, Nevada",Las Vegas,Nevada,United States,2686,Stewart-Haas Racing,0,0,0,0,0,Ford,Mustang,Rush Truck Centers,0,0,0,,0,Stewart-Haas Racing,4938,Drew Blickensderfer,0,0,3193,10,False,0,0
5376,1,2024,289010,0,0,2,Austin Cindric,"Mooresville, North Carolina",Mooresville,North Carolina,United States,1547,Team Penske,0,0,0,0,0,Ford,Mustang,Freightliner,0,0,0,,0,Team Penske,7089,Brian Wilson,0,0,4414,2,False,0,0
