race_id,series_id,race_season,result_id,finishing_position,starting_position,car_number,driver_fullname,driver_hometown,hometown_city,hometown_state,hometown_country,team_id,team_name,qualifying_order,qualifying_position,qualifying_speed,laps_led,times_led,car_make,car_model,sponsor,points_earned,playoff_points_earned,laps_completed,finishing_status,winnings,owner_fullname,crew_chief_id,crew_chief_fullname,points_position,points_delta,owner_id,official_car_number,disqualified,diff_laps,diff_time
4868,1,2020,268599,10,5,10,Aric Almirola,,Tampa,Florida,,2686,Stewart-Haas Racing,7,5,0.0,0,0,Ford,Mustang,Pure Farmland,0,0,77,Accident,0,Stewart-Haas Racing,,Mike Bugarewicz,0,0,3193,10,False,,
4868,1,2020,268602,3,6,14,Clint Bowyer,,Emporia,Kansas,,2370,Stewart-Haas Racing,10,6,0.0,0,0,Ford,Mustang,Mobil 1,0,0,88,Running,0,Stewart-Haas Racing,,John Klausmeier,0,0,4084,14,False,,
4868,1,2020,268598,12,17,1,Kurt Busch,,Las Vegas,Nevada,,1432,Chip Ganassi Racing,1,17,0.0,0,0,Chevrolet,Camaro,Monster Energy,0,0,77,Accident,0,Chip Ganassi Racing,,Matt McCall,0,0,4032,1,False,,
4868,1,2020,268603,18,9,18,Kyle Busch,,Las Vegas,Nevada,,1524,Joe Gibbs Racing,11,9,0.0,0,0,Toyota,Camry,M&M's,0,0,65,Accident,0,Joe Gibbs Racing,,Adam Stevens,0,0,4047,18,False,,
4868,1,2020,268600,6,18,11,Denny Hamlin,,Chesterfield,Virginia,,1447,Joe Gibbs Racing,8,18,0.0,12,1,Toyota,Camry,FedEx Express,0,0,87,Running,0,Joe Gibbs Racing,,Christopher Gabehart,0,0,1187,11,False,,
4868,1,2020,268610,13,10,4,Kevin Harvick,,Bakersfield,California,,2766,Stewart-Haas Racing,4,10,0.0,0,0,Ford,Mustang,Busch Light #PIT4BUSCH,0,0,77,Accident,0,Stewart-Haas Racing,,Rodney Childers,0,0,3193,4,False,,
4868,1,2020,268612,11,16,48,Jimmie Johnson,,El Cajon,California,,1707,Hendrick Motorsports,17,16,0.0,0,0,Chevrolet,Camaro,Ally,0,0,77,Accident,0,Hendrick Motorsports,,Cliff Daniels,0,0,1237,48,False,,
4868,1,2020,268605,17,2,2,Brad Keselowski,,Rochester Hills,Michigan,,1547,Team Penske,2,2,0.0,33,2,Ford,Mustang,MoneyLion,0,0,66,Accident,0,Team Penske,,Jeremy Bullins,0,0,4414,2,False,,
4868,1,2020,268615,5,1,6,Ryan Newman,,South Bend,Indiana,,2803,Roush Fenway Racing,5,1,0.0,7,3,Ford,Mustang,Koch Industries,0,0,88,Running,0,Roush Fenway Racing,,Scott Graves,0,0,5061,6,False,,
4868,1,2020,268604,16,3,19,Martin Truex Jr,,Mayetta,New Jersey,,2810,Joe Gibbs Racing,12,3,0.0,7,1,Toyota,Camry,SiriusXM,0,0,72,Accident,0,Joe Gibbs Racing,,James Small,0,0,-1,19,False,,
